info,zona,precio,referencia,descripcion,titulo,telefono
Terrenos, Limpio,Gs. 80.000.000,"('Ref.:\nBD9BA',)","DescripciónVenta de Lote en Limpio, ParaguayTerreno ubicado en la Ciudad de Limpio, Barrio Villa San Francisco,
detrás de la Sede de la Cooperativa San Cristobal, a 300m de la Iglesia
San Francisco de Asis.Dimensiones: 12m x 30m.Superficie de terreno: 360 m2.Financiación propia hasta 10 años.Entrega Gs ***120 cuotas de Gs 960.000.Contado Gs ***Transferencia con hipoteca.
.  - ***:SNI-SNI-37","Lote En Venta Limpio, Limpio. Ref. #BD9BA - InfoCasas.com.py",0213284259 Casa central|0981737332 Casa central|0981-205692 Casa central
Dúplex|4 Ambs.|3 o más baños|190 m²|202 m²|2 garajes, Lambaré,Gs. 650.000.000,"('Ref.:\n9E068',)","DescripciónExcelente ubicación, a 15 minutos de Asunción, cercanías del Colegio SEK y el Yacth y Golf Club Paraguayo, zona Residencial y tranquila, con excelentes accesos.
En 190 m² construidos, Sala estar, comedor y cocina integrada, todo en porcelanato, con finos muebles, desayunador de marmol y un detalle de luces leds de colores en el techo, modernos apliques.
Con un frente de 9 mts un amplio espacio para 2 vehiculos, porton eléctrico.
Galeria techada, con Quincho parrilla y un jardín que le da una frescura relajante.
Área de servicio con lavadero, una habitación amplia y baño. 
En planta alta 1 habitación en suite, 1 baño compartido, y 2 habitaciones mas.
 ",Vendo Fino Y Amplio Duplex A Pasos Del Yacth. Ref. #9E068 - InfoCasas.com.py,0972128630 Casa central
Terrenos|360 m², Mariano Roque Alonso,Gs. 350.000.000,"('Ref.:\n1C419',)","DescripciónHermoso Terreno en excelente ubicación a precio de oferta, sólo a 60% del Valor del Mercado!!! (actualmente valuado en Gs. *** )El Barrio Cerrado Arapoty es una propiedad única en la ciudad de Mariano Roque Alonso, conocida como la Ciudad Jardín, busca dar al cliente la sensación de vivir en un lugar integrado completamente a la naturaleza. Con Salida a la Ruta 3 Gral Aquino en su pórtico principal y al aeropuerto en su segundo pórtico, se ubica estratégicamente cerca de las vías de acceso más rápidas a Asunción como lo son la Ruta Transchaco, Avenida Aviadores del Chaco y la Avenida Ñu Guasu. Descripción del Terreno:+ Superficie Total: 360 metros cuadrados.+ Tamaño del Lote: 12 x 30 metros.+ Manzana 2, Lote nro. 8.Más de Arapoty:• Terrenos altos, nivelados a un nivel superior al de la vereda.• Dos pórticos de entrada al condominio cerrado, monitoreado por cámaras y seguridad privada las 24 horas.• Muro perimetral de ladrillos con altura de 2,50 metros y cerco eléctrico.• Dos plazas arbolizadas y equipadas de 1920 m² cada una.• Una cancha polideportiva y un parque infantil.• Calles totalmente asfaltadas.• Desagüe pluvial hasta la Ruta 3 Gral. Aquino.• Pozo artesiano y tanque de agua de 50.000 litros ubicados en una de las plazas.• Alimentación de agua corriente en puerta para cada lote.• Paisajismo en todo el proyecto de barrio cerrado con palmeras en todas las veredas y arbolización en los lotes.• Conexión trifásica de energía eléctrica con 3 transformadores y tendido eléctrico de la ANDE.• Postes de iluminación distribuidos para iluminar las calles y plazas.",Oferta!!! Terreno En Bo. Cerrado Arapoty - Mra. Ref. #1C419 - InfoCasas.com.py,0981474769 Casa central
Casas|3 dorms.|2 baños|130 m²|500 m²|3 o más garajes, Mariano Roque Alonso,Gs. 516.000.000,"('Ref.:\n8F4FD',)","DescripciónUbicada en zona residencial, a solo 3 minutos de la ruta transchaco, a 150 mts de lo que será la costanera Norte, en Mariano Roque Alonso, cercano a la Plaza España y la Comisaria N# 26 Puente Remanso.En 500 m2 de terreno, Casa de 2 habitaciones con baño familiar, sala estar, comedor y cocina integrados, todos los ambientes con piso de porcelanato y fina terminación.Quincho parrilla techados, piscina con Deck.Área de servicio o huéspedes, 1 habitación y 1 baño, además galería techada y terraza con una vista hermosa al Rio.     Enamora con la tranquilidad y el verde que le rodea.Agenda tu visita y mudate a la vida que queres al *** -630",Vendo Hermosa Casa En Mariana Roque Alonso A Pasos De La Futura Costanera Norte. Ref. #8F4FD - InfoCasas.com.py,0972128630 Casa central
Terrenos|376 m², Villa Elisa,Gs. 110.000.000,"('Ref.:\n45DAF',)","DescripciónEl terreno se encuentra a una cuadra de Paso Medin y la Avda. Dr. Pedro Torales, a 5 minutos de la Avda. Von Poleski.Zona en continuo crecimiento y desarrollo, de fácil y rápido acceso a las principales rutas del país; cuenta con todos los servicios disponibles alrededor.Dimensiones:-Frente: 27.26 m-Contra Frente: 27.26 m-Costado Este: 13.80 m-Costado Oeste: 13.80 mSup. Total: 376 m2Ideal para una construcción de vivienda unifamiliar, dúplex, departamento, deposito u otras inversiones.",Excelente Terreno En Venta – Villa Elisa. Ref. #45DAF - InfoCasas.com.py,021664579 Casa central
Terrenos|577 m², Fernando de la Mora,Gs. 550.000.000,"('Ref.:\nE8658',)","DescripciónEl terreno se encuentra a dos cuadras de la Av. Sta. Teresa y 6 cuadras de la Avda. Laguna Grande.Zona en continuo crecimiento y desarrollo, de fácil y rápido acceso a las principales rutas del país; cuenta con todos los servicios disponibles alrededor.Dimensiones:Sup. Lote: 12x47Sup. Total: 577 m2Ideal para una construcción de vivienda unifamiliar, dúplex, departamento, depósito u otras inversiones.***",Terreno Bo. Sta. Maria - Fdo. De La Mora. Ref. #E8658 - InfoCasas.com.py,021664579 Casa central
Departamentos|3 dorms.|2 baños|93 m²|1 garaje, Fernando de la Mora,Gs. 480.000.000,"('Ref.:\nf3AFF',)","Descripciónepartamento en excelente ubicación de la ciudad de Fdo de la Mora, zona Norte, a una cuadra de Mcal. López.
Excelentes terminaciones, ambientes cómodos de mucha luminosidad. 
Edificio de 4 pisos, el dpto se encuentra en el 2do.
El edificio cuenta con portero 24 hs. 
El dpto cuenta con:
3 habitaciones, 1 en suite. Con placares
1 baño familiar
Sala Comedor
Cocina amoblada Achon
Balcón con parrila
Todos los ambientes con aire acondicionado tipo split
Una cochera

Amenities
Piscina con jardín en planta baja
Portero 24 hs.
Parrilla y área social en la terraza
Tendedero en terraza
 ",Vendo Departamento Fernando De La Mora. Ref. #f3AFF - InfoCasas.com.py,0985954337 Casa central
Departamentos|5 o más dorms.|3 o más baños|164 m²|1 garaje, Fernando de la Mora,U$S 120.000,"('Ref.:\nB1199',)","DescripciónEDIFICIO ALTOS DEL SUR – Fdo. Zona SurUbicado sobre la calle 11 de Septiembre c/ Saturio Rios, a 5 min de la Avda. Eusebio Ayala y a 7 min de la Avda. Defensores del Chaco.A 3 cuadras de la Av. Pitiantuta y a otras 3 de la Av. Zavalas Cue.Departamento de 164 m2 propios a estrenar, ubicado en el 2ndo piso.- Amplio living comedor- Baño Social- Cocina independiente amoblada- 2 Habitaciones con placard- 1 Baño compartido- 1 Habitacion en suite- Lavadero- Area de Servicio Incluye una cocheraGuardia las 24 hsAsensorENTREGA DICIEMBRE DEL 2018*Obs: Se recibe propiedades como parte de pago",Amplio Departamento 3 Dormitorios A Estrenar. Ref. #B1199 - InfoCasas.com.py,021664579 Casa central
Casas|2 dorms.|1 baño|90 m²|369 m²|3 o más garajes, Luque,Gs. 345.000.000,"('Ref.:\nFE1FE',)","DescripciónA 15 minutos del Pase Carmelitas y el WTC, a 300 mts de la Avda America y solo 2 minutos de Jardin de Oro, facil Acceso a la Autopista Silvio Pettirossi, Aeropuerto, Ñu Guazu y el centro de Luque.Barrio Residencial, a escasas cuadras del Panamerican School y el Garden Club, en una zona tranquila de Luque y a muy pocos minutos del nuevo eje comercial financiero de Asunción.La propiedad cuenta con 369m2. (15,90 x 26,84)Agende una visita al *** -630Claudia Samaniego Tú Agente de Confianza.Msj directo al whatsapp aqui➡️???? ***",Oferta Casita A Refaccionar En Esquina A 3min De Rakiura Y El Aeropuerto. Ref. #FE1FE - InfoCasas.com.py,0972128630 Casa central
Casas|4 dorms.|3 o más baños|730 m²|2.880 m²|3 o más garajes, Limpio,U$S 470.000,"('Ref.:\n1A14A',)","DescripciónVendo hermosa Residencia estilo Country de 2,880m2 en la mejor zona de Surubií, con piscina, cancha y establo, rodeada de hermosas casas en la zona alta de Surubií. Superficie de terreno: 2.880m2 Superficie construida: 730m2 Precio: 470.000 USD Contactos al *** , *** La misma está construida en una planta que rodea a la piscina como protagonista de la residencia. Posee -Gran patio frontal con espacio para mas de 6 vehiculos. -Hall de entrada, -Living- comedor social con chimenea, -Escritorio o sala de juegos. -Comedor diario, cocina amoblada integrada -4 dormitorios: 2 habitaciones de hijos con vestidor que comparten un baño. 1 habitacion matrimonial con vestidor y baño. -1 dormitorio de huéspedes en suite. -Galería con parrilla y vista a la piscina -Área de servicio: lavadero, tendedero, dormitorio y baño de servicio, comedor de servicio. -Hermosa piscina de 17 metros de largo. -Cancha de futbol. -Establo para caballos",Surubii Preciosa Residencia Estilo Country De 2.880m2 En Surubii. Ref. #1A14A - InfoCasas.com.py,0213382826 Casa central
